Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05021,Alejandría,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2025,2025A,Transitorio,"2,50","4,00","40,00","10,00",1081001,2.5,4.0,1.5,1.6
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2024,2024B,Transitorio,"0,00","2,00","22,60","11,30",1051200,0.0,2.0,2.0,inf
05,Antioquia,05030,Amagá,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"0,00","6,80","8,16","1,20",1060200,0.0,6.8,6.8,inf
05,Antioquia,05030,Amagá,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"1,00","6,50","7,80","1,20",1060200,1.0,6.5,5.5,6.5
05,Antioquia,05030,Amagá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"11,20","16,50","13,84","0,84",1010402,11.2,16.5,5.300000000000001,1.4732142857142858
05,Antioquia,05030,Amagá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"14,70","25,10","21,06","0,84",1010402,14.7,25.1,10.400000000000002,1.707482993197279
05,Antioquia,05030,Amagá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"22,00","32,00","26,85","0,84",1010402,22.0,32.0,10.0,1.4545454545454546
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de tallo,Cebolla de rama,Cebolla de rama,2025,2025B,Transitorio,"1,00","1,50","15,45","10,30",1051200,1.0,1.5,0.5,1.5
05,Antioquia,05030,Amagá,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"3,00","6,10","7,32","1,20",1060200,3.0,6.1,3.0999999999999996,2.033333333333333
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2023,2023B,Transitorio,"4,90","7,31","190,06","26,00",1052901,4.9,7.31,2.4099999999999993,1.4918367346938775
