Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento
5055,Argelia,1010402,Maíz,2023,2023B,Transitorio,"22,00","24,00","48,00","2,00"
5055,Argelia,1010402,Maíz,2025,2025B,Transitorio,"22,00","24,00","48,00","2,00"
5055,Argelia,1010404,Maíz,2023,2023A,Transitorio,"20,00","22,50","45,00","2,00"
5055,Argelia,1081001,Yuca,2022,2022B,Transitorio,"0,00","33,00","231,00","7,00"
5055,Argelia,1081001,Yuca,2023,2023B,Transitorio,"0,00","37,50","262,50","7,00"
5055,Argelia,1081001,Yuca,2024,2024B,Transitorio,"0,00","8,00","56,00","7,00"
5059,Armenia,1060200,Frijol,2024,2024B,Transitorio,"2,00","4,00","5,20","1,30"
5059,Armenia,1060200,Frijol,2025,2025B,Transitorio,"2,00","4,00","5,20","1,30"
5059,Armenia,1010402,Maíz,2023,2023B,Transitorio,"2,00","8,00","12,80","1,60"
5059,Armenia,1010402,Maíz,2024,2024B,Transitorio,"2,50","6,00","9,60","1,60"
5059,Armenia,1010402,Maíz,2025,2025B,Transitorio,"2,50","7,00","11,20","1,60"
5059,Armenia,1052901,Tomate,2025,2025B,Transitorio,"1,00","3,00","36,00","12,00"
5079,Barbosa,1051200,Cebolla de rama,2025,2025B,Transitorio,"69,00","74,00","962,00","13,00"
5079,Barbosa,1060200,Frijol,2023,2023A,Transitorio,"270,00","295,00","590,00","2,00"
5079,Barbosa,1060200,Frijol,2024,2024B,Transitorio,"117,00","207,00","476,10","2,30"
5079,Barbosa,1060200,Frijol,2025,2025B,Transitorio,"122,00","216,00","347,41","1,61"
5079,Barbosa,1010402,Maíz,2022,2022B,Transitorio,"11,00","13,50","14,18","1,05"
5079,Barbosa,1010402,Maíz,2024,2024B,Transitorio,"12,00","14,00","23,80","1,70"
5079,Barbosa,1010402,Maíz,2025,2025B,Transitorio,"14,00","15,00","25,50","1,70"
5079,Barbosa,1010404,Maíz,2022,2022B,Transitorio,"11,00","13,50","10,80","0,80"
5079,Barbosa,1010404,Maíz,2024,2024B,Transitorio,"10,00","12,00","19,20","1,60"
5079,Barbosa,1010404,Maíz,2025,2025B,Transitorio,"10,00","12,00","20,40","1,70"
5079,Barbosa,1080701,Papa,2023,2023B,Transitorio,"13,00","20,00","150,00","7,50"
5079,Barbosa,1080701,Papa,2024,2024B,Transitorio,"11,00","21,00","157,50","7,50"
5079,Barbosa,1080701,Papa,2025,2025B,Transitorio,"9,00","19,00","161,50","8,50"
5079,Barbosa,1052901,Tomate,2022,2022A,Transitorio,"19,00","22,00","990,00","45,00"
5079,Barbosa,1052901,Tomate,2024,2024B,Transitorio,"10,00","16,00","608,00","38,00"
5079,Barbosa,1052901,Tomate,2025,2025B,Transitorio,"12,00","14,00","462,00","33,00"
5086,Belmira,1060200,Frijol,2022,2022A,Transitorio,"57,00","60,00","108,00","1,80"
5086,Belmira,1060200,Frijol,2022,2022B,Transitorio,"40,00","57,00","114,00","2,00"
5086,Belmira,1060200,Frijol,2023,2023B,Transitorio,"80,00","85,00","170,00","2,00"
5086,Belmira,1060200,Frijol,2024,2024B,Transitorio,"60,00","80,00","111,89","1,40"
5086,Belmira,1060200,Frijol,2025,2025A,Transitorio,"40,00","60,00","240,00","4,00"
5086,Belmira,1010402,Maíz,2022,2022A,Transitorio,"9,00","16,00","32,00","2,00"
5086,Belmira,1010402,Maíz,2022,2022B,Transitorio,"10,00","12,00","24,00","2,00"
5086,Belmira,1010402,Maíz,2024,2024A,Transitorio,"8,00","9,00","17,62","1,96"
5086,Belmira,1010402,Maíz,2024,2024B,Transitorio,"20,00","30,00","60,00","2,00"
5086,Belmira,1010402,Maíz,2025,2025A,Transitorio,"5,00","8,00","15,66","1,96"
5086,Belmira,1010402,Maíz,2025,2025B,Transitorio,"15,00","20,00","39,15","1,96"
5086,Belmira,1010404,Maíz,2022,2022A,Transitorio,"10,00","11,00","25,30","2,30"
5086,Belmira,1010404,Maíz,2024,2024A,Transitorio,"20,00","24,00","48,00","2,00"
5086,Belmira,1010404,Maíz,2025,2025A,Transitorio,"0,00","20,00","40,00","2,00"
5086,Belmira,1080702,Papa,2025,2025A,Transitorio,"0,00","50,00","450,00","9,00"
5086,Belmira,1080701,Papa,2023,2023B,Transitorio,"400,00","420,00","5.880,00","14,00"
5086,Belmira,1080701,Papa,2024,2024B,Transitorio,"350,00","405,00","4.050,00","10,00"
5088,Bello,1080701,Papa,2023,2023B,Transitorio,"210,00","225,00","4.050,00","18,00"
5088,Bello,1080701,Papa,2024,2024A,Transitorio,"43,50","52,00","936,00","18,00"
5088,Bello,1080701,Papa,2025,2025A,Transitorio,"43,50","52,00","936,00","18,00"
5091,Betania,1060200,Frijol,2024,2024B,Transitorio,"8,00","11,50","14,95","1,30"
5091,Betania,1060200,Frijol,2025,2025B,Transitorio,"8,00","22,00","37,40","1,70"
5091,Betania,1010402,Maíz,2022,2022B,Transitorio,"8,00","43,00","107,50","2,50"
5091,Betania,1010402,Maíz,2023,2023B,Transitorio,"15,00","41,00","106,60","2,60"
5091,Betania,1010402,Maíz,2024,2024B,Transitorio,"20,00","43,00","116,10","2,70"
5091,Betania,1010402,Maíz,2025,2025B,Transitorio,"22,00","41,00","110,70","2,70"
5091,Betania,1052300,Pepino Cohombro,2024,2024B,Transitorio,"1,00","2,90","101,50","35,00"
5091,Betania,1052500,Pimentón,2024,2024B,Transitorio,"2,00","6,00","210,00","35,00"
5091,Betania,1052500,Pimentón,2025,2025B,Transitorio,"2,00","5,00","175,00","35,00"
5091,Betania,1052901,Tomate,2024,2024B,Transitorio,"4,00","9,00","522,00","58,00"
5091,Betania,1052901,Tomate,2025,2025B,Transitorio,"4,00","10,00","400,00","40,00"
5091,Betania,1081001,Yuca,2022,2022A,Transitorio,"0,00","8,00","144,00","18,00"
5091,Betania,1081001,Yuca,2023,2023A,Transitorio,"0,00","5,00","75,00","15,00"
5093,Betulia,1060200,Frijol,2022,2022A,Transitorio,"20,00","28,00","19,60","0,70"
5093,Betulia,1060200,Frijol,2022,2022B,Transitorio,"0,00","19,00","13,30","0,70"
5093,Betulia,1060200,Frijol,2023,2023B,Transitorio,"0,00","19,00","13,30","0,70"
5093,Betulia,1060200,Frijol,2024,2024B,Transitorio,"0,00","9,00","6,30","0,70"
5093,Betulia,1060200,Frijol,2025,2025B,Transitorio,"0,00","20,00","14,00","0,70"
5093,Betulia,1010402,Maíz,2022,2022B,Transitorio,"0,00","23,00","57,50","2,50"
5093,Betulia,1010402,Maíz,2023,2023B,Transitorio,"0,00","23,00","57,50","2,50"
5093,Betulia,1010402,Maíz,2024,2024B,Transitorio,"0,00","11,00","27,50","2,50"
5093,Betulia,1010402,Maíz,2025,2025B,Transitorio,"0,00","30,00","75,00","2,50"
5093,Betulia,1080702,Papa,2022,2022B,Transitorio,"0,00","4,00","10,00","2,50"
5093,Betulia,1080702,Papa,2023,2023B,Transitorio,"0,00","4,00","12,00","3,00"
5093,Betulia,1080702,Papa,2024,2024B,Transitorio,"0,00","2,00","6,00","3,00"
5093,Betulia,1080702,Papa,2025,2025B,Transitorio,"0,00","4,00","12,00","3,00"
5093,Betulia,1081001,Yuca,2022,2022A,Transitorio,"3,00","5,00","45,00","9,00"
5093,Betulia,1081001,Yuca,2023,2023A,Transitorio,"2,00","3,00","27,00","9,00"
5101,Ciudad Bolívar,1081001,Yuca,2022,2022B,Transitorio,"0,00","40,00","480,00","12,00"
5101,Ciudad Bolívar,1081001,Yuca,2023,2023B,Transitorio,"0,00","30,00","300,00","10,00"
5101,Ciudad Bolívar,1081001,Yuca,2024,2024B,Transitorio,"0,00","25,00","300,00","12,00"
5107,Briceño,1010102,Arroz,2022,2022A,Transitorio,"18,00","20,00","35,46","1,77"
5107,Briceño,1010102,Arroz,2023,2023A,Transitorio,"15,00","20,00","30,94","1,55"
5107,Briceño,1010102,Arroz,2024,2024B,Transitorio,"18,00","20,00","35,70","1,78"
5107,Briceño,1010102,Arroz,2025,2025B,Transitorio,"19,00","22,00","39,27","1,78"
5107,Briceño,1060200,Frijol,2022,2022A,Transitorio,"30,00","38,00","30,40","0,80"
5107,Briceño,1060200,Frijol,2022,2022B,Transitorio,"20,00","25,00","25,00","1,00"
5107,Briceño,1060200,Frijol,2023,2023B,Transitorio,"19,00","22,00","22,00","1,00"
5107,Briceño,1060200,Frijol,2024,2024B,Transitorio,"19,00","24,00","24,00","1,00"
5107,Briceño,1010402,Maíz,2022,2022A,Transitorio,"20,00","30,00","27,00","0,90"
5107,Briceño,1010402,Maíz,2023,2023A,Transitorio,"15,00","25,00","20,00","0,80"
5107,Briceño,1010402,Maíz,2024,2024A,Transitorio,"14,50","17,00","15,30","0,90"
5107,Briceño,1010404,Maíz,2022,2022A,Transitorio,"0,00","3,50","3,15","0,90"
5107,Briceño,1081001,Yuca,2022,2022B,Transitorio,"0,00","12,00","36,00","3,00"
5107,Briceño,1081001,Yuca,2023,2023B,Transitorio,"0,00","12,00","60,00","5,00"
5107,Briceño,1081001,Yuca,2024,2024B,Transitorio,"0,00","14,00","70,00","5,00"
5107,Briceño,1081001,Yuca,2025,2025B,Transitorio,"4,00","15,50","77,50","5,00"
5113,Buriticá,1051300,Cilantro,2024,2024B,Transitorio,"0,80","1,00","18,00","18,00"
5113,Buriticá,1051300,Cilantro,2025,2025B,Transitorio,"0,80","1,00","12,00","12,00"
5113,Buriticá,1060200,Frijol,2022,2022B,Transitorio,"50,00","212,00","212,00","1,00"
5113,Buriticá,1060200,Frijol,2023,2023B,Transitorio,"80,00","230,00","230,00","1,00"
5113,Buriticá,1060200,Frijol,2024,2024B,Transitorio,"130,00","228,00","228,00","1,00"
5113,Buriticá,1060200,Frijol,2025,2025B,Transitorio,"130,00","320,00","416,00","1,30"
5113,Buriticá,1010402,Maíz,2022,2022B,Transitorio,"15,00","63,00","63,00","1,00"
5113,Buriticá,1010402,Maíz,2023,2023B,Transitorio,"25,00","45,00","45,00","1,00"
5113,Buriticá,1010402,Maíz,2024,2024B,Transitorio,"40,00","78,00","78,00","1,00"
5113,Buriticá,1010402,Maíz,2025,2025B,Transitorio,"40,00","133,30","133,30","1,00"
5120,Cáceres,1010102,Arroz,2022,2022B,Transitorio,"250,00","317,00","634,00","2,00"
5120,Cáceres,1010102,Arroz,2023,2023A,Transitorio,"190,00","250,00","500,00","2,00"
5120,Cáceres,1010102,Arroz,2023,2023B,Transitorio,"450,00","640,00","1.280,00","2,00"
5120,Cáceres,1010102,Arroz,2024,2024B,Transitorio,"290,00","430,00","645,00","1,50"
5120,Cáceres,1010102,Arroz,2025,2025B,Transitorio,"300,00","530,00","795,00","1,50"
5120,Cáceres,1010103,Arroz,2024,2024B,Transitorio,"360,00","560,00","2.184,00","3,90"
5120,Cáceres,1010103,Arroz,2025,2025B,Transitorio,"250,00","440,00","1.540,00","3,50"
