departamento,municipio,cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
Nariño,Policarpa,Caña,9200.00,221.00,41.63
Boyacá,Maripí,Caña,220659.96,5302.00,41.62
"Norte de Santander",Arboledas,Caña,199749.00,4804.00,41.58
Quindío,Montenegro,Caña,6395.00,154.00,41.53
Santander,Tona,"Cebolla de rama",731610.00,17640.00,41.47
Antioquia,"El Carmen de Viboral",Zanahoria,41270.00,996.00,41.44
Bolívar,Turbaco,Caña,9527.28,229.90,41.44
"Valle del Cauca",Pradera,Ají,870.00,21.00,41.43
"Valle del Cauca","El Dovio",Repollo,22778.30,554.70,41.06
Casanare,"La Salina",Caña,9742.00,238.00,40.93
Chocó,"Medio San Juan",Caña,31590.00,772.00,40.92
Bolívar,Montecristo,Patilla,14917.00,365.00,40.87
Chocó,Riosucio,Caña,60450.00,1481.00,40.82
Tolima,Icononzo,Caña,7990.64,196.00,40.77
Boyacá,Guacamayas,Caña,3750.00,92.00,40.76
"Norte de Santander","La Playa",Caña,3420.00,84.00,40.71
Cundinamarca,"La Vega",Caña,74030.00,1819.00,40.70
Antioquia,Envigado,Fresa,1435.00,35.28,40.67
Cauca,"Santander de Quilichao",Piña,93618.76,2303.52,40.64
Caldas,Villamaría,Fresa,1950.00,48.00,40.63
Boyacá,Pajarito,Caña,10294.05,253.50,40.61
"Norte de Santander",Ragonvalia,Tomate,3434.40,84.60,40.60
Nariño,"El Rosario",Caña,26910.00,664.00,40.53
Cundinamarca,Chocontá,Fresa,35355.10,872.50,40.52
Nariño,"Cuaspud Carlosama",Lechuga,646.00,16.00,40.38
Cauca,"López de Micay",Caña,159586.34,3953.90,40.36
Meta,"Barranca de Upía",Piña,1612.00,40.00,40.30
Sucre,Ovejas,Piña,1450.50,36.00,40.29
Antioquia,Amalfi,Caña,215310.00,5344.00,40.29
Tolima,"Valle de San Juan",Caña,21970.00,546.00,40.24
Santander,"San Gil",Piña,8284.00,206.00,40.21
Cauca,Miranda,Piña,7956.00,198.00,40.18
Cesar,"San Alberto",Tomate,3074.00,76.50,40.18
Antioquia,Yarumal,"Tomate de árbol",14804.70,368.60,40.16
Magdalena,"Santa Marta",Banano,341731.66,8521.93,40.10
Magdalena,"Zona Bananera",Banano,3660880.00,91522.00,40.00
Magdalena,Ciénaga,Banano,362520.00,9063.00,40.00
Antioquia,Ituango,Caña,154200.00,3855.00,40.00
Antioquia,"El Santuario",Repollo,28440.00,711.00,40.00
Atlántico,Luruaco,Melón,320.00,8.00,40.00
Antioquia,Entrerríos,Zanahoria,25600.00,640.00,40.00
Antioquia,Vegachí,Caña,436280.00,10907.00,40.00
Nariño,"Roberto Payán",Caña,69520.00,1738.00,40.00
"Norte de Santander","El Tarra",Caña,5040.00,126.00,40.00
Meta,Lejanías,Papaya,2400.00,60.00,40.00
"Norte de Santander","El Carmen",Tomate,14932.00,373.30,40.00
Meta,"Puerto Lleras",Piña,14000.00,350.00,40.00
Meta,"San Juanito",Caña,22680.00,567.00,40.00
"Norte de Santander",Ocaña,Caña,9120.00,228.00,40.00
"Norte de Santander",Lourdes,Caña,23680.00,592.00,40.00
"Norte de Santander",Bochalema,Papaya,40.00,1.00,40.00
Cundinamarca,"San Francisco",Caña,1252.40,31.31,40.00
Cundinamarca,"La Peña",Caña,1289280.00,32231.00,40.00
Córdoba,Buenavista,Caña,28560.00,714.00,40.00
Cundinamarca,Chocontá,"Cebolla de bulbo",760.00,19.00,40.00
Boyacá,Sotaquirá,Fresa,140.00,3.50,40.00
Boyacá,Macanal,"Calabacín, calabaza",80.00,2.00,40.00
Boyacá,Tibaná,Manzana,77360.00,1934.00,40.00
"Valle del Cauca",Yumbo,Berenjena,25.60,0.64,40.00
"Valle del Cauca",Restrepo,Ají,2100.00,52.50,40.00
Tolima,"Carmen de Apicalá",Patilla,800.00,20.00,40.00
"Valle del Cauca",Ansermanuevo,"Otros cítricos",1360.00,34.00,40.00
Tolima,"San Antonio",Caña,2640.00,66.00,40.00
Santander,"Santa Bárbara","Pepino Cohombro",400.00,10.00,40.00
"Norte de Santander",Santiago,Caña,19360.00,484.00,40.00
Quindío,Filandia,Piña,200.00,5.00,40.00
"Norte de Santander",Sardinata,Caña,331900.00,8297.50,40.00
Putumayo,"San Miguel",Patilla,200.00,5.00,40.00
Quindío,Armenia,Piña,33190.40,829.76,40.00
Quindío,Montenegro,Piña,41607.70,1041.00,39.97
Nariño,"San Andrés de Tumaco",Caña,115263.38,2883.40,39.97
Antioquia,Caracolí,Caña,7468.00,187.00,39.94
Antioquia,Yolombó,Caña,1211865.00,30382.00,39.89
Quindío,Génova,Caña,2451.00,61.50,39.85
Boyacá,Tipacoque,Caña,2550.00,64.00,39.84
Cundinamarca,Gachancipá,Fresa,2753.80,69.20,39.79
Antioquia,"El Santuario",Zanahoria,253535.00,6384.00,39.71
Nariño,Providencia,Caña,4762.00,120.00,39.68
Risaralda,Pereira,Tomate,27177.73,685.06,39.67
Cauca,"La Sierra",Tomate,4878.00,123.00,39.66
Cundinamarca,Manta,Tomate,9753.00,246.00,39.65
Antioquia,Donmatías,"Tomate de árbol",47491.05,1199.00,39.61
Meta,"Puerto López",Papaya,43168.00,1090.00,39.60
Cesar,"Pueblo Bello",Tomate,8515.00,215.00,39.60
"Norte de Santander","San Calixto",Piña,7680.00,194.00,39.59
Casanare,Pore,Piña,2928.20,74.00,39.57
Tolima,Rovira,Tomate,3539.00,89.50,39.54
Risaralda,Guática,Caña,9760.00,247.00,39.51
Cesar,"La Jagua de Ibirico",Tomate,21036.00,533.00,39.47
Cundinamarca,"Guayabal de Síquima",Caña,50277.20,1274.40,39.45
Boyacá,Somondoco,Caña,4536.48,115.00,39.45
Chocó,"Medio Atrato",Caña,78980.00,2004.00,39.41
Antioquia,"Santa Fé de Antioquia",Papaya,157.50,4.00,39.38
Cundinamarca,Lenguazaque,Fresa,2126.00,54.00,39.37
Meta,"El Calvario",Tomate,1692.00,43.00,39.35
Cundinamarca,Tibirita,Tomate,1337.00,34.00,39.32
Antioquia,Campamento,Caña,1081326.00,27516.00,39.30
Magdalena,Aracataca,Banano,185044.00,4711.00,39.28
Boyacá,Aquitania,"Cebolla de rama",891810.00,22705.00,39.28
Antioquia,Apartadó,Banano,2951090.70,75197.90,39.24
Cundinamarca,Zipacón,Fresa,12286.50,313.50,39.19
Santander,Enciso,Caña,4938.00,126.00,39.19
Cundinamarca,Simijaca,Fresa,450.00,11.50,39.13
Santander,Oiba,Tomate,1799.50,46.00,39.12
Quindío,Quimbaya,Piña,9903.70,253.40,39.08
Antioquia,"San Jerónimo","Cebolla de rama",26621.00,681.40,39.07
Meta,"Puerto Lleras",Papaya,11522.00,295.00,39.06
Bolívar,"San Pablo",Caña,6400.50,164.00,39.03
"Valle del Cauca",Argelia,Caña,15232.00,390.50,39.01
Cundinamarca,Anapoima,Caña,74611.00,1913.80,38.99
Cundinamarca,Funza,Fresa,10085.00,259.00,38.94
"Norte de Santander",Bucarasica,Caña,15182.00,391.00,38.83
"Norte de Santander",Bochalema,Caña,14670.00,378.00,38.81
Antioquia,Andes,Tomate,4338.69,111.80,38.81
Cauca,Piamonte,Caña,17430.80,451.00,38.65
"Valle del Cauca","El Águila",Tomate,451.50,11.70,38.59
Bolívar,"San Jacinto",Caña,13500.00,350.00,38.57
"Valle del Cauca","Guadalajara de Buga",Tomate,5202.00,135.00,38.53
Antioquia,"San Vicente Ferrer",Fresa,3039.50,79.00,38.47
Meta,Villavicencio,Piña,71484.50,1863.00,38.37
Córdoba,"San Carlos",Guayaba,30694.00,802.00,38.27
Cundinamarca,Pacho,Caña,4928.00,129.00,38.20
Bolívar,"San Jacinto",Papaya,2175.00,57.00,38.16
Boyacá,Zetaquira,Caña,32586.00,856.00,38.07
Meta,"Puerto López",Caña,5225507.00,137362.00,38.04
Santander,"Jesús María",Tomate,1940.00,51.00,38.04
Cundinamarca,"La Vega",Tomate,913.00,24.00,38.04
Tolima,Anzoátegui,Tomate,10359.00,272.50,38.01
Santander,Barichara,Piña,7398.50,195.00,37.94
